,Age,County,Female,Male,Male_Inverse,Male_inverse,OBJECTID,shape
22,22,Embu,3798,3190,-3190.0,,22,81
23,23,Embu,3215,2886,-2886.0,,23,81
24,24,Embu,3227,2910,-2910.0,,24,81
25,25,Embu,3978,3647,-3647.0,,25,81
26,26,Embu,2689,2413,-2413.0,,26,81
27,27,Embu,2427,2515,-2515.0,,27,81
28,28,Embu,2684,2239,-2239.0,,28,81
29,29,Embu,2075,1951,-1951.0,,29,81
30,30,Embu,3492,3201,-3201.0,,30,81
31,31,Embu,1578,1794,-1794.0,,31,81
32,32,Embu,2250,2233,-2233.0,,32,81
33,33,Embu,1570,1509,-1509.0,,33,81
34,34,Embu,1626,1540,-1540.0,,34,81
35,35,Embu,2866,3142,-3142.0,,35,81
36,36,Embu,1390,1438,-1438.0,,36,81
37,37,Embu,1413,1514,-1514.0,,37,81
38,38,Embu,1438,1191,-1191.0,,38,81
39,39,Embu,1189,1092,-1092.0,,39,81
40,40,Embu,2331,2247,-2247.0,,40,81
41,41,Embu,870,902,-902.0,,41,81
42,42,Embu,1075,1099,-1099.0,,42,81
43,43,Embu,799,752,-752.0,,43,81
44,44,Embu,852,875,-875.0,,44,81
45,45,Embu,1743,1542,-1542.0,,45,81
46,46,Embu,964,913,-913.0,,46,81
47,47,Embu,918,908,-908.0,,47,81
48,48,Embu,1462,1255,-1255.0,,48,81
49,49,Embu,841,955,-955.0,,49,81
50,50,Embu,1760,1617,-1617.0,,50,81
51,51,Embu,602,778,-778.0,,51,81
52,52,Embu,740,778,-778.0,,52,81
53,53,Embu,592,616,-616.0,,53,81
54,54,Embu,639,624,-624.0,,54,81
55,55,Embu,1008,980,-980.0,,55,81
56,56,Embu,587,623,-623.0,,56,81
57,57,Embu,640,839,-839.0,,57,81
58,58,Embu,514,483,-483.0,,58,81
59,59,Embu,526,581,-581.0,,59,81
60,60,Embu,1377,1186,-1186.0,,60,81
61,61,Embu,456,527,-527.0,,61,81
62,62,Embu,371,448,-448.0,,62,81
63,63,Embu,314,377,-377.0,,63,81
64,64,Embu,437,395,-395.0,,64,81
65,65,Embu,885,647,-647.0,,65,81
66,66,Embu,372,381,-381.0,,66,81
67,67,Embu,349,377,-377.0,,67,81
68,68,Embu,380,300,-300.0,,68,81
69,69,Embu,381,302,-302.0,,69,81
70,70,Embu,959,787,-787.0,,70,81
71,71,Embu,222,175,-175.0,,71,81
72,72,Embu,258,241,-241.0,,72,81
73,73,Embu,180,199,-199.0,,73,81
74,74,Embu,232,230,-230.0,,74,81
